"","Timepoint","Mouse"
"MOUSE_CELL_1102","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1105","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1106","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1108","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1116","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1121","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1123","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1128","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1131","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1132","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1137","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1142","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1143","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1144","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1145","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1148","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1153","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1157","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1159","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1160","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1162","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1171","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1173","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1174","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1176","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1180","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1181","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1182","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1183","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1188","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1189","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1190","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1193","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1194","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1197","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1201","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1202","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1203","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1204","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1212","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1219","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1222","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1223","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1224","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1225","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1228","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1229","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1232","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1239","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1242","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1248","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1252","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1253","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1255","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1256","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1262","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1265","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1272","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1276","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1277","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1279","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1281","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1283","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1300","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1303","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1308","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1312","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1314","uninjured","uninjured_mouse_id_55"
