gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
ISG15,4.42866341728613E-109,0.817603867562407,0.457,0.178,2.11189672380124E-104,4
CP,2.87003044055453E-109,1.88824971709033,0.342,0.177,1.36863141618724E-104,0
SAA11,2.84917208071351E-109,0.459787370606118,0.376,0.119,1.35868469012985E-104,5
LSP11,2.64487401499388E-109,0.95640601491971,0.309,0.095,1.26126107153013E-104,4
WARS1,2.35543592712559E-109,1.38200195269687,0.288,0.084,1.12323673056838E-104,5
EEF1G,1.57699857330824E-109,1.30641572812374,0.336,0.129,7.52023309653502E-105,3
ATAD5,1.2091916703996E-109,3.45082673203341,0.306,0.018,5.76627231863458E-105,8
VMP1,1.07081322478334E-109,1.10999517064309,0.36,0.122,5.10638702502431E-105,5
NEBL,7.94656440583416E-110,1.16964723442504,0.253,0.065,3.78947816821013E-105,5
SOD1,5.00998538470795E-110,1.95387221716102,0.369,0.181,2.38911173040568E-105,2
KPNB11,3.92365077279935E-110,0.862793813861507,0.402,0.149,1.87107134402483E-105,4
PPIG1,1.87837717847716E-110,0.910744066783418,0.412,0.156,8.95741725100405E-106,4
RESF1,1.42046195190161E-110,1.25123230868325,0.382,0.159,6.77375691003323E-106,3
SERBP11,1.31406599748422E-110,0.918778034830092,0.378,0.136,6.26638652220301E-106,4
TSHZ2,1.31207640734457E-110,1.13344155517483,0.288,0.082,6.25689876370405E-106,5
HSPH11,9.22011022112627E-111,1.14871057428615,0.52,0.231,4.39679396114848E-106,4
FTH11,3.70025243249303E-111,1.97104435896691,0.761,0.386,1.76453937748295E-106,7
GADD45B1,3.20596229011299E-111,2.54158069735616,0.518,0.159,1.52882723728618E-106,7
MYL12B1,3.04790813542247E-111,0.819250471737525,0.484,0.194,1.45345595253891E-106,5
RPS91,2.09965497217967E-111,0.458438347731132,0.674,0.299,1.00126246658332E-106,4
PTTG1IP,1.61601294837179E-111,0.979286097207821,0.317,0.096,7.70628094690056E-107,5
TPT11,7.05981693046518E-112,0.50936367357656,0.945,0.554,3.36661489963093E-107,4
SOX4,6.20387027774091E-112,1.29623009007601,0.293,0.084,2.95843961934631E-107,5
XIST1,1.99036370447316E-112,0.679423749621555,0.533,0.217,9.49144739752116E-108,4
RPL38,1.43288190914416E-112,1.05514038989403,0.563,0.305,6.83298396013577E-108,3
RNF2131,1.23183467076918E-112,1.26225777390712,0.596,0.295,5.87424999449698E-108,5
CHD3,9.62693661260604E-113,1.1640625089634,0.372,0.126,4.59079726245344E-108,5
RGS21,9.47999936212886E-113,0.625069155341139,0.317,0.095,4.52072729581839E-108,4
TPM31,5.00239693666132E-113,0.844826743272076,0.417,0.153,2.38549302718568E-108,4
CIRBP,3.43995905716164E-113,0.886108922740602,0.439,0.17,1.64041327558867E-108,4
RPL51,1.44272604054744E-113,0.453576308040652,0.638,0.275,6.87992766955857E-109,4
TM4SF1,1.35991279977222E-113,4.73472486302073,0.441,0.035,6.48501616827379E-109,10
GOLGA41,8.05137424164615E-114,0.920998459520967,0.507,0.211,3.8394588346138E-109,5
NUCKS11,7.17068890133653E-114,0.647148871328083,0.524,0.216,3.41948641638035E-109,4
EIF3E,6.38129638606666E-114,1.63075314627343,0.259,0.082,3.04304880762361E-109,3
ZFP36,5.53822289416137E-114,0.95785500829706,0.364,0.122,2.64101235153873E-109,4
DHX36,2.74058411701479E-114,0.936697039807655,0.375,0.13,1.30690234788084E-109,4
MCM3,2.70511012449233E-114,3.79862200817671,0.371,0.026,1.28998586506666E-109,8
LSM14A,1.48147244501538E-114,1.29512195537934,0.272,0.077,7.06469764854483E-110,4
RPL14,1.47926261462664E-114,1.2636672040167,0.387,0.159,7.05415963037008E-110,3
RRM1,1.12148551775843E-114,3.42252679485389,0.371,0.026,5.34802798853465E-110,8
RPL15,1.026831357478E-114,1.06867408623939,0.486,0.23,4.89665069440535E-110,3
CIB11,8.55681797957208E-115,2.01023766798497,0.36,0.171,4.08048978991854E-110,2
ANXA11,7.93367503026921E-115,1.02038916152943,0.507,0.281,3.78333161168448E-110,2
CHD1,6.50955187478557E-115,1.6282871266482,0.334,0.128,3.104210002529E-110,3
SP1001,6.22710935063389E-115,0.758629949725631,0.616,0.283,2.96952163603678E-110,4
PPP1R12A,4.28409661120946E-115,1.06968890140646,0.361,0.123,2.04295715098745E-110,4
RPS241,1.45172176829072E-115,0.555893147378875,0.876,0.468,6.92282559644794E-111,4
SNHG32,7.34395027766133E-116,1.30484703262876,0.337,0.124,3.50210956890836E-111,3
RBM38,4.49146837293224E-116,1.30254975086425,0.275,0.077,2.1418465230002E-111,4
MCM7,2.11621193948815E-116,3.27686493248027,0.419,0.032,1.00915798758371E-111,8
CMTM6,2.05080322852205E-116,1.33807054834516,0.332,0.123,9.77966535585308E-112,3
RALA,1.46066894622843E-116,2.76025117908508,0.352,0.071,6.9654920038795E-112,7
